time,X (m),Y (m),Z (m),Phi (rad),Alpha (rad),Ostmeyer_sim_X (m),Ostmeyer_sim_Y (m),Ostmeyer_sim_Z (m),Ostmeyer_exp_X (m),Ostmeyer_exp_Y (m),Ostmeyer_exp_Z (m)
0,0,0.98,0,0,0.001745329,0,0.98,0,0,0.98,0
0.01,0.025982023,0.980398216,2.03E-07,-0.002268301,0.036565328,0.026450458,0.98,0.000104428,0.045563595,0.978853813,-0.000526234
0.02,0.051953205,0.979955598,4.02E-07,-0.00827053,0.066583763,0.05303058,0.979225687,0.000208855,0.075363671,0.977707624,-0.001052469
0.03,0.077911856,0.978788573,-1.28E-06,-0.017474813,0.092428868,0.079770793,0.977538227,0.000426497,0.104373851,0.974189408,-0.001578704
0.04,0.103858421,0.976997283,-8.97E-06,-0.02942535,0.114655646,0.104931905,0.975452297,0.000960739,0.134752853,0.970003406,-0.002013035
0.05,0.129793651,0.974667879,-2.94161E-05,-0.043730614,0.133750704,0.12991679,0.972908127,0.001494981,0.165355606,0.965479936,-0.002346452
0.06,0.155717813,0.971874451,-7.20679E-05,-0.060053135,0.150138157,0.155018461,0.96964523,0.002034942,0.195850081,0.960656877,-0.00267987
0.07,0.181630435,0.968680578,-0.000148938,-0.078101117,0.164185746,0.180371147,0.965848057,0.002578792,0.224399782,0.954881281,-0.003003976
0.08,0.207530312,0.965140618,-0.00027437,-0.097621703,0.176210703,0.206163699,0.962364789,0.003122642,0.253874648,0.948781882,-0.00317081
0.09,0.233415619,0.961300766,-0.000464725,-0.118395331,0.186485534,0.232171303,0.958686032,0.004116087,0.283939164,0.942284337,-0.003337644
0.1,0.259284057,0.95719996,-0.000738052,-0.140231317,0.19524303,0.256714028,0.954207384,0.005122195,0.31391635,0.934961322,-0.003504477
0.11,0.285132981,0.952870668,-0.001113737,-0.1629638,0.202681367,0.281595887,0.949903057,0.00588336,0.344420458,0.927261341,-0.002445041
0.12,0.310959513,0.948339573,-0.001612186,-0.186448573,0.208968306,0.30692872,0.945772646,0.006824596,0.373927569,0.918807191,-0.000681176
0.13,0.336760624,0.943628191,-0.00225451,-0.210560187,0.214245243,0.333399024,0.941452045,0.007961258,0.401794677,0.910527596,0.001082688
0.14,0.362533185,0.938753417,-0.003062255,-0.235189391,0.218630871,0.360104819,0.937045513,0.008821211,0.431771863,0.902502265,0.002619184
0.15,0.388274013,0.933728023,-0.004057152,-0.260241035,0.222224248,0.386661187,0.93267336,0.009377323,0.461850444,0.893778138,0.001451848
0.16,0.41397989,0.928561101,-0.005260904,-0.285632158,0.225107633,0.412263138,0.92830915,0.009839639,0.492065906,0.884885379,0.000284514
0.17,0.439647576,0.923258463,-0.006694999,-0.311290335,0.227348955,0.436901922,0.923246023,0.010174631,0.522598226,0.876065625,-0.000882821
0.18,0.465273817,0.917823003,-0.008380554,-0.33715223,0.229003981,0.461732826,0.918294601,0.010509624,0.551112166,0.866975007,-0.00186326
0.19,0.490855352,0.912255021,-0.010338176,-0.363162299,0.230118272,0.486660235,0.913734618,0.01019027,0.579726984,0.857738917,-0.002746051
0.2,0.516388911,0.906552509,-0.012587857,-0.389271865,0.230728623,0.512014073,0.909027087,0.009773186,0.60921274,0.849018629,-0.003628841
0.21,0.541871218,0.900711422,-0.015148881,-0.415437935,0.230864831,0.537811119,0.903983467,0.009306352,0.634421761,0.839936062,-0.00451163
0.22,0.567298998,0.8947259,-0.018039747,-0.441622383,0.230550919,0.563917378,0.899018226,0.008516491,0.659094366,0.830486211,-0.006796114
0.23,0.592668976,0.888588485,-0.021278109,-0.467791375,0.229806105,0.588797394,0.894164178,0.00772663,0.683318355,0.819892862,-0.009476047
0.24,0.617977888,0.882290305,-0.024880735,-0.493914643,0.228645916,0.613290437,0.889252842,0.005953889,0.712395438,0.809470154,-0.012155978
0.25,0.643222481,0.875821238,-0.028863465,-0.519964812,0.227083188,0.63720386,0.884229639,0.004147567,0.741977186,0.799336251,-0.015190246
0.26,0.668399527,0.869170059,-0.033241184,-0.545916957,0.225128787,0.66268243,0.879114695,0.001705719,0.771254751,0.788673514,-0.019192252
0.27,0.693505827,0.862324572,-0.038027806,-0.571748201,0.222792321,0.689602583,0.873882686,-0.000795534,0.796725564,0.778970058,-0.023194257
0.28,0.718538218,0.855271728,-0.043236255,-0.597437218,0.220082874,0.71505909,0.868466887,-0.003895866,0.826920153,0.770992106,-0.027196263
0.29,0.743493587,0.847997716,-0.048878456,-0.622963871,0.217009543,0.740096881,0.862843671,-0.007092052,0.857697892,0.76222739,-0.031699966
0.3,0.768368874,0.840488065,-0.054965329,-0.648308923,0.213581964,0.76427939,0.856983268,-0.011075314,0.881921881,0.752664605,-0.036294105
0.31,0.793161082,0.832727709,-0.061506779,-0.673453732,0.209810785,0.78937028,0.851101939,-0.015566668,0.90753327,0.741389728,-0.040888244
0.32,0.817867284,0.824701068,-0.068511694,-0.698379987,0.205708048,0.815377884,0.845122771,-0.020466931,0.933623689,0.730852463,-0.045351201
0.33,0.842484631,0.816392097,-0.075987935,-0.723069496,0.201287483,0.839868743,0.838993998,-0.026086048,0.959866343,0.720712147,-0.049680293
0.34,0.867010357,0.807784346,-0.083942335,-0.747504014,0.196564748,0.864299838,0.832296394,-0.032448886,0.986968919,0.71015016,-0.054009386
0.35,0.89144179,0.798861008,-0.092380686,-0.771665103,0.191557613,0.889994569,0.825467535,-0.038924529,1.013098724,0.699580399,-0.058338478
0.36,0.915776356,0.789604958,-0.101307736,-0.795534027,0.186286058,0.914761301,0.818345053,-0.045495618,1.036210178,0.688957155,-0.066164417
0.37,0.940011593,0.779998799,-0.110727175,-0.819091704,0.18077224,0.938817068,0.81110051,-0.053035848,1.059483048,0.678178978,-0.074224011
0.38,0.964145157,0.770024898,-0.120641628,-0.842318696,0.175040431,0.962958176,0.803722811,-0.061458436,1.083472238,0.667401436,-0.082283606
0.39,0.988174836,0.759665422,-0.131052646,-0.865195239,0.169116845,0.987097592,0.79545914,-0.070432247,1.109302087,0.656847121,-0.091164588
0.4,1.012098568,0.74890238,-0.141960701,-0.887701309,0.163029489,1.011153359,0.786663237,-0.079491032,1.131988217,0.646958342,-0.100180734
0.41,1.035914449,0.737717656,-0.15336518,-0.909816751,0.156807798,1.034874525,0.778031848,-0.088424079,1.154052739,0.636667498,-0.10919688
0.42,1.059620761,0.726093052,-0.165264387,-0.93152142,0.150482301,1.058723666,0.769394644,-0.097842072,1.177304416,0.626136533,-0.1197749
0.43,1.083215984,0.714010322,-0.177655552,-0.952795364,0.144084273,1.083029494,0.760251534,-0.107912086,1.19800539,0.615424146,-0.130494558
0.44,1.106698821,0.701451217,-0.19053484,-0.973619052,0.137645294,1.106047629,0.750757776,-0.119122489,1.21685861,0.605209611,-0.141227147
0.45,1.13006822,0.688397526,-0.203897375,-0.993973593,0.131196806,1.129060294,0.740579306,-0.131004782,1.241312614,0.59516692,-0.152244573
0.46,1.15332339,0.674831115,-0.21773727,-1.013840956,0.124769716,1.153803368,0.72992364,-0.143706258,1.263944038,0.584956284,-0.163262
0.47,1.176463828,0.660733974,-0.232047666,-1.033204257,0.11839394,1.176796334,0.718902977,-0.15611661,1.284054768,0.574163463,-0.174072834
0.48,1.199489327,0.646088256,-0.246820782,-1.052048001,0.112097993,1.198147606,0.707397182,-0.168914095,1.30516826,0.563091188,-0.183875043
0.49,1.2224,0.630876321,-0.262047967,-1.07035827,0.10590868,1.221009147,0.695304529,-0.182295821,1.325409048,0.551972833,-0.193677253
0.5,1.245196281,0.615080774,-0.277719772,-1.088122921,0.09985079,1.244296578,0.682573081,-0.195956549,1.343241809,0.542084562,-0.206347441
0.51,1.267878935,0.598684509,-0.293826018,-1.105331855,0.093946743,1.265114068,0.669547703,-0.210174965,1.36190007,0.532601811,-0.220640318
0.52,1.290449057,0.581670741,-0.310355876,-1.121977098,0.088216452,1.286048552,0.656687306,-0.224762393,1.381134257,0.521310071,-0.234497026
0.53,1.312908064,0.564023046,-0.327297952,-1.138052876,0.082677239,1.307399824,0.642645098,-0.239561684,1.398453433,0.511377701,-0.247003294
0.54,1.335257687,0.54572539,-0.344640369,-1.153555727,0.07734369,1.329125475,0.627725795,-0.25530063,1.415693695,0.50214202,-0.259509562
0.55,1.357499952,0.52676216,-0.36237086,-1.16848459,0.072227578,1.351330798,0.611975265,-0.270946045,1.43273499,0.490726035,-0.273461379
0.56,1.379637162,0.507118192,-0.38047685,-1.182840696,0.067338003,1.37243346,0.59644694,-0.286659482,1.449388552,0.478906225,-0.287995689
0.57,1.401671866,0.486778791,-0.398945546,-1.196627522,0.062681473,1.39325095,0.580592239,-0.303559843,1.462891788,0.466217732,-0.302762672
0.58,1.423606839,0.465729755,-0.417764019,-1.209850775,0.058261946,1.41214085,0.564048354,-0.320356557,1.477718632,0.455534529,-0.318579422
0.59,1.445445043,0.443957389,-0.436919281,-1.222518265,0.054081008,1.430967102,0.547225033,-0.337730192,1.494372623,0.445326968,-0.334396172
0.6,1.467189598,0.42144852,-0.456398362,-1.234639698,0.05013813,1.450717807,0.529151701,-0.355424171,1.50948515,0.435516949,-0.351058449
0.61,1.48884375,0.398190507,-0.47618838,-1.246226534,0.046430847,1.470609614,0.510673798,-0.37298815,1.523888604,0.424221596,-0.367863747
0.62,1.510410837,0.374171247,-0.496276595,-1.257291861,0.042954917,1.490880577,0.492232909,-0.391052759,1.535580465,0.41254439,-0.384010625
0.63,1.531894255,0.349379184,-0.516650476,-1.267850148,0.03970461,1.511333432,0.473514824,-0.409565292,1.54708957,0.400673296,-0.399827375
0.64,1.553297428,0.3238033,-0.537297742,-1.277917027,0.036672952,1.529540747,0.452251328,-0.428948467,1.558051692,0.388843857,-0.417043016
0.65,1.574623785,0.297433125,-0.558206407,-1.287509119,0.033851913,1.547769555,0.433401499,-0.448431209,1.567963342,0.376253793,-0.43697488
0.66,1.595876725,0.270258723,-0.579364815,-1.296643841,0.031232618,1.566964074,0.412523471,-0.466733064,1.576503851,0.363249928,-0.456638924
0.67,1.617059601,0.242270689,-0.600761671,-1.305339176,0.028805583,1.585918039,0.390133397,-0.485676589,1.586303096,0.351378835,-0.474793182
0.68,1.638175698,0.213460139,-0.622386063,-1.313613494,0.026560893,1.604422475,0.367386888,-0.504908445,1.59677132,0.339507741,-0.492947441
0.69,1.659228213,0.183818698,-0.644227477,-1.321485388,0.024488358,1.621401588,0.344074927,-0.525080649,1.607239543,0.327636649,-0.5111017
0.7,1.680220247,0.153338487,-0.666275816,-1.328973492,0.022577688,1.637741675,0.319883239,-0.546341305,1.617707767,0.315765554,-0.52925596
