Exp_t_s,Exp_X_m,Exp_Y_m,,Sim_t_s,Sim_X_m,Sim_Y_m
0,0,0,,0,0,0
0.0015,-0.003973964,-0.001781432,,0.0015,0.013329873,0.01197231
0.002,0.000587285,0.00220232,,0.002,0.017762638,0.015949661
0.0025,0.004624872,0.006827191,,0.0025,0.022190165,0.019920328
0.003,0.009213038,0.010791367,,0.003,0.026612459,0.023884313
0.0035,0.01391132,0.01501248,,0.0035,0.031029534,0.027841632
0.004,0.018312623,0.018873213,,0.004,0.035441405,0.031792298
0.0045,0.023030926,0.023030926,,0.0045,0.039848089,0.035736328
0.005,0.027358684,0.027029805,,0.005,0.044249604,0.039673739
0.0055,0.031978813,0.031267294,,0.0055,0.048645964,0.043604545
0.006,0.036361768,0.035169579,,0.006,0.053037177,0.047528753
0.0065,0.041330201,0.039054471,,0.0065,0.057423256,0.051446376
0.007,0.045817061,0.043309353,,0.007,0.061804215,0.055357428
0.0075,0.050051387,0.047338129,,0.0075,0.066180068,0.059261922
0.008,0.054330562,0.051153882,,0.008,0.070550827,0.06315987
0.0085,0.058752998,0.054984584,,0.0085,0.074916506,0.067051284
0.009,0.063335046,0.059438164,,0.009,0.079277117,0.070936177
0.0095,0.067784733,0.063486873,,0.0095,0.083632673,0.074814562
0.01,0.072209661,0.067687564,,0.01,0.087983188,0.078686451
0.0105,0.076409202,0.071349514,,0.0105,0.092328674,0.082551858
0.011,0.081303901,0.075048036,,0.011,0.096669145,0.086410794
0.0115,0.085740931,0.079307982,,0.0115,0.101004613,0.090263271
0.012,0.090099349,0.083247688,,0.012,0.10533509,0.094109303
0.0125,0.094430578,0.087334214,,0.0125,0.109660591,0.0979489
0.013,0.098715313,0.091726619,,0.013,0.113981126,0.101782077
0.0135,0.103460089,0.095366564,,0.0135,0.11829671,0.105608845
0.014,0.107834611,0.099335916,,0.014,0.122607355,0.109429215
0.0145,0.112501835,0.103435619,,0.0145,0.126913072,0.113243201
0.015,0.116811814,0.107075242,,0.015,0.131213876,0.117050815
0.0155,0.121030995,0.111132147,,0.0155,0.135509777,0.120852068
0.016,0.125770812,0.115364851,,0.016,0.139800789,0.124646972
0.0165,0.129863456,0.119182205,,0.0165,0.144086924,0.128435539
0.017,0.134344698,0.122905402,,0.017,0.148368194,0.132217782
0.0175,0.138574854,0.127055498,,0.0175,0.152644611,0.135993712
0.018,0.142959918,0.130585817,,0.018,0.156916188,0.13976334
0.0185,0.147335193,0.13470856,,0.0185,0.161182937,0.14352668
0.019,0.151678657,0.138446386,,0.019,0.16544487,0.147283742
0.0195,0.155890872,0.142623563,,0.0195,0.169702,0.151034538
0.02,0.160763697,0.146454265,,0.02,0.173954337,0.154779081
0.0205,0.165047183,0.15047183,,0.0205,0.178201896,0.158517381
0.021,0.169243487,0.154229412,,0.021,0.182444687,0.162249451
0.0215,0.173919977,0.158184782,,0.0215,0.186682721,0.165975302
0.022,0.178269807,0.161959873,,0.022,0.190916012,0.169694944
0.0225,0.18251892,0.166074932,,0.0225,0.195144571,0.17340839
0.023,0.186903538,0.169798855,,0.023,0.199368409,0.177115651
0.0235,0.191181912,0.173422405,,0.0235,0.203587538,0.180816738
0.024,0.195311882,0.177602973,,0.024,0.20780197,0.184511663
0.0245,0.200111339,0.181140802,,0.0245,0.212011718,0.188200438
0.025,0.204256299,0.18515434,,0.025,0.216216791,0.191883072
0.0255,0.20819263,0.189105858,,0.0255,0.220417203,0.195559579
0.026,0.212632379,0.192747665,,0.026,0.224612965,0.199229968
0.0265,0.216988314,0.196699783,,0.0265,0.228804088,0.202894252
0.027,0.221479959,0.200317668,,0.027,0.232990584,0.20655244
0.0275,0.225590956,0.204307982,,0.0275,0.237172463,0.210204545
0.028,0.229599178,0.208067831,,0.028,0.241349739,0.213850577
0.0285,0.234041338,0.211963762,,0.0285,0.245522421,0.217490547
0.029,0.238102686,0.215894365,,0.029,0.249690521,0.221124467
0.0295,0.242667405,0.219701162,,0.0295,0.25385405,0.224752347
0.03,0.24676259,0.223042138,,0.03,0.258013021,0.228374197
0.0305,0.251105948,0.227065553,,0.0305,0.262167443,0.23199003
0.031,0.255724563,0.230811922,,0.031,0.266317329,0.235599856
0.0315,0.259786976,0.234653835,,0.0315,0.270462688,0.239203685
0.032,0.26410921,0.238460164,,0.032,0.274603533,0.242801528
0.0325,0.269378482,0.241088332,,0.0325,0.278739874,0.246393396
0.033,0.272773989,0.245912361,,0.033,0.282871723,0.2499793
0.0335,0.276868301,0.24944942,,0.0335,0.286999089,0.25355925
0.034,0.28125,0.253597122,,0.034,0.291121985,0.257133257
0.0345,0.285111042,0.257138389,,0.0345,0.295240421,0.260701331
0.035,0.28940484,0.261235168,,0.035,0.299354408,0.264263483
0.0355,0.293556459,0.264690111,,0.0355,0.303463957,0.267819723
0.036,0.297827044,0.268267019,,0.036,0.307569078,0.271370063
0.0365,0.302018126,0.272026535,,0.0365,0.311669783,0.274914512
0.037,0.306012333,0.275479616,,0.037,0.315766082,0.27845308
0.0375,0.310656969,0.279271089,,0.0375,0.319857985,0.281985778
0.038,0.314491264,0.283144913,,0.038,0.323945503,0.285512617
0.0385,0.318787256,0.28663926,,0.0385,0.328028648,0.289033606
0.039,0.323141487,0.290467626,,0.039,0.332107429,0.292548756
0.0395,0.327668477,0.294340038,,0.0395,0.336181856,0.296058077
0.04,0.331449126,0.298047276,,0.04,0.340251942,0.299561579
0.0405,0.335604808,0.301555029,,0.0405,0.344317695,0.303059273
0.041,0.339260021,0.305097636,,0.041,0.348379126,0.306551168
0.0415,0.343875549,0.308745212,,0.0415,0.352436247,0.310037274
0.042,0.348266841,0.31238905,,0.042,0.356489066,0.313517602
0.0425,0.35213258,0.315690305,,0.0425,0.360537595,0.316992162
0.043,0.356395403,0.31963001,,0.043,0.364581844,0.320460964
0.0435,0.360280197,0.322469844,,0.0435,0.368621822,0.323924016
0.044,0.364426471,0.326891282,,0.044,0.372657541,0.327381331
0.0445,0.368403414,0.330242638,,0.0445,0.376689009,0.330832916
0.045,0.372652527,0.334018499,,0.045,0.380716239,0.334278782
0.0455,0.377081192,0.337512847,,0.0455,0.384739238,0.33771894
0.046,0.381061385,0.341212744,,0.046,0.388758018,0.341153398
0.0465,0.38484537,0.344856582,,0.0465,0.392772589,0.344582166
0.047,0.389302843,0.348535457,,0.047,0.39678296,0.348005254
0.0475,0.39338454,0.352058203,,0.0475,0.400789142,0.351422672
0.048,0.397389517,0.355745118,,0.048,0.404791144,0.354834429
0.0485,0.401866525,0.35893313,,0.0485,0.408788976,0.358240535
0.049,0.405529291,0.362610483,,0.049,0.412782648,0.361640999
0.0495,0.409626584,0.366118534,,0.0495,0.41677217,0.365035831
0.05,0.413915725,0.369516958,,0.05,0.420757552,0.368425041
0.0505,0.41795726,0.37312613,,0.0505,0.424738804,0.371808638
0.051,0.422074585,0.376853619,,0.051,0.428715935,0.375186632
0.0515,0.425809353,0.380267215,,0.0515,0.432688955,0.378559031
0.052,0.429950776,0.383918429,,0.052,0.436657873,0.381925846
0.0525,0.433710175,0.387461459,,0.0525,0.4406227,0.385287085
0.053,0.437718397,0.390990065,,0.053,0.444583445,0.388642758
0.0535,0.441521069,0.394193217,,0.0535,0.448540117,0.391992874
0.054,0.445637475,0.397657814,,0.054,0.452492725,0.395337442
0.0545,0.449691675,0.401336074,,0.0545,0.456441281,0.398676473
0.055,0.454265159,0.404419322,,0.055,0.460385792,0.402009974
0.0555,0.457908997,0.40782958,,0.0555,0.464326269,0.405337955
0.056,0.462275558,0.411190375,,0.056,0.46826272,0.408660426
0.0565,0.466231097,0.414696814,,0.0565,0.472195156,0.411977395
0.057,0.470385596,0.418389098,,0.057,0.476123586,0.415288872
0.0575,0.474249172,0.421776864,,0.0575,0.480048018,0.418594865
0.058,0.47825499,0.425298859,,0.058,0.483968463,0.421895384
0.0585,0.482048647,0.42874272,,0.0585,0.48788493,0.425190438
0.059,0.485996917,0.432425488,,0.059,0.491797427,0.428480035
0.0595,0.490024787,0.435493622,,0.0595,0.495705964,0.431764185
0.06,0.494039054,0.436896197,,0.06,0.499610551,0.435042897
